# Logfile created on 2026-09-25 16:58:21 +0200 by logger.rb/v1.5.3
2026-09-25 16:58:22 +0200: Memory Usage (467264K) : baspoly_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467264K) : baspoly_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467392K) : psd_drw has 218 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467392K) : nldb_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467520K) : digibnd_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467520K) : via1_drw has 1004 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467648K) : backmetal1_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467648K) : backmetal1_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467776K) : backmetal1_mask has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467904K) : backmetal1_filler has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (467904K) : backmetal1_nofill has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468032K) : backmetal1_slit has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468032K) : backmetal1_text has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468032K) : backmetal1_opc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468160K) : backmetal1_noqrc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468288K) : backmetal1_res has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468288K) : backmetal1_iprobe has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468416K) : backmetal1_diffprb has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468416K) : backpassiv_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468544K) : res_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468544K) : sram_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468544K) : trans_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468672K) : ind_drw has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468672K) : ind_pin has 2 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468672K) : ind_text has 2 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468672K) : salblock_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468800K) : via2_drw has 853 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468800K) : metal3_drw has 113 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468800K) : metal3_pin has 3 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468928K) : metal3_mask has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468928K) : metal3_filler has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468928K) : metal3_nofill has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (468928K) : metal3_slit has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469056K) : metal3_text has 4 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469056K) : metal3_opc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469056K) : metal3_noqrc has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469184K) : metal3_res has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469184K) : metal3_iprobe has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469184K) : metal3_diffprb has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469312K) : nwell_drw has 15 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469312K) : nwell_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469440K) : nbulay_drw has 26 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469440K) : nbulay_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469568K) : nbulay_block has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469568K) : emwind_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469568K) : emwind_opc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469696K) : deepco_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469696K) : deepco_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469824K) : mim_drw has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469824K) : edgeseal_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469952K) : edgeseal_bound has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469952K) : substrate_drw has 197 polygons
2026-09-25 16:58:22 +0200: Memory Usage (469952K) : substrate_text has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470080K) : dfpad_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470080K) : dfpad_pillar has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470208K) : dfpad_sbump has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470208K) : thickgateox_drw has 2 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470336K) : pldb_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470336K) : pwell_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470464K) : pwell_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470464K) : pwell_block has 2 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470464K) : ic_drw has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470592K) : via3_drw has 2675 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470592K) : metal4_drw has 34 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470592K) : metal4_pin has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470720K) : metal4_mask has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470720K) : metal4_filler has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470720K) : metal4_nofill has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470848K) : metal4_slit has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470848K) : metal4_text has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470976K) : metal4_opc has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470976K) : metal4_noqrc has 1 polygons
2026-09-25 16:58:22 +0200: Memory Usage (470976K) : metal4_res has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (471104K) : metal4_iprobe has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (471104K) : metal4_diffprb has 0 polygons
2026-09-25 16:58:22 +0200: Memory Usage (471232K) : heattrans_drw has 91 polygons
