# Logfile created on 2026-09-25 16:56:45 +0200 by logger.rb/v1.5.3
2026-09-25 16:56:45 +0200: Memory Usage (461364K) : baspoly_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461364K) : baspoly_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461492K) : psd_drw has 75 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461492K) : nldb_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461620K) : digibnd_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461620K) : via1_drw has 6360 polygons
2026-09-25 16:56:45 +0200: Memory Usage (461748K) : backmetal1_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462004K) : backmetal1_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462004K) : backmetal1_mask has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462004K) : backmetal1_filler has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462132K) : backmetal1_nofill has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462132K) : backmetal1_slit has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462260K) : backmetal1_text has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462260K) : backmetal1_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462388K) : backmetal1_noqrc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462388K) : backmetal1_res has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462516K) : backmetal1_iprobe has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462516K) : backmetal1_diffprb has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462644K) : backpassiv_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462644K) : res_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462772K) : sram_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462772K) : trans_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462772K) : ind_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462772K) : ind_pin has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462900K) : ind_text has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462900K) : salblock_drw has 20 polygons
2026-09-25 16:56:45 +0200: Memory Usage (462900K) : via2_drw has 6360 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463156K) : metal3_drw has 17 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463156K) : metal3_pin has 1 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463156K) : metal3_mask has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463284K) : metal3_filler has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463284K) : metal3_nofill has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463284K) : metal3_slit has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463412K) : metal3_text has 1 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463412K) : metal3_opc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463412K) : metal3_noqrc has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463412K) : metal3_res has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463540K) : metal3_iprobe has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463540K) : metal3_diffprb has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463540K) : nwell_drw has 0 polygons
2026-09-25 16:56:45 +0200: Memory Usage (463668K) : nwell_pin has 0 polygons
