# Logfile created on 2026-03-22 13:50:33 +0100 by logger.rb/v1.5.3
2026-03-22 13:50:33 +0100: Memory Usage (441584K) : nldb_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (441712K) : digibnd_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (441840K) : via1_drw has 27 polygons
2026-03-22 13:50:33 +0100: Memory Usage (441968K) : backmetal1_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (441968K) : backmetal1_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442096K) : backmetal1_mask has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442096K) : backmetal1_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442096K) : backmetal1_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442224K) : backmetal1_slit has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442224K) : backmetal1_text has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442352K) : backmetal1_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442352K) : backmetal1_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442352K) : backmetal1_res has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442480K) : backmetal1_iprobe has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442480K) : backmetal1_diffprb has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442608K) : backpassiv_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442608K) : res_drw has 35 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442736K) : sram_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442736K) : trans_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442864K) : ind_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442864K) : ind_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442992K) : ind_text has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (442992K) : salblock_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443120K) : via2_drw has 12 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443248K) : metal3_drw has 10 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443248K) : metal3_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443376K) : metal3_mask has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443376K) : metal3_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443376K) : metal3_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443504K) : metal3_slit has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443504K) : metal3_text has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443632K) : metal3_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443760K) : metal3_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443760K) : metal3_res has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443760K) : metal3_iprobe has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443888K) : metal3_diffprb has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (443888K) : nwell_drw has 9 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444016K) : nwell_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444016K) : nbulay_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444144K) : nbulay_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444144K) : nbulay_block has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444144K) : emwind_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444272K) : emwind_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444400K) : deepco_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444400K) : deepco_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444528K) : mim_drw has 9 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444656K) : edgeseal_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444656K) : edgeseal_bound has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444784K) : substrate_drw has 6 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444784K) : substrate_text has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444784K) : dfpad_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444912K) : dfpad_pillar has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (444912K) : dfpad_sbump has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445040K) : thickgateox_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445040K) : pldb_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445040K) : pwell_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445168K) : pwell_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445168K) : pwell_block has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445296K) : ic_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445296K) : via3_drw has 12 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445424K) : metal4_drw has 10 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445552K) : metal4_pin has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445552K) : metal4_mask has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445552K) : metal4_filler has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445680K) : metal4_nofill has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445680K) : metal4_slit has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445808K) : metal4_text has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445808K) : metal4_opc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445808K) : metal4_noqrc has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445936K) : metal4_res has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (445936K) : metal4_iprobe has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446064K) : metal4_diffprb has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446192K) : heattrans_drw has 10 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446192K) : heatres_drw has 35 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446320K) : pempoly_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446320K) : fbe_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446320K) : empoly_drw has 0 polygons
2026-03-22 13:50:33 +0100: Memory Usage (446448K) : ldmos_drw has 0 polygons
